exchange,symbol,market_type,timestamp_ms,received_at_ms,source,metadata,timeframe,open_time_ms,close_time_ms,open,high,low,close,volume,quote_volume,trades_count,is_closed
binance,BTCUSDT,usdm_futures,1779237779999,1779237779999,history_downloader,{},1m,1779237720000,1779237779999,76680.1,76680.1,76635.7,76635.7,12.432,952932.5609,1075,True
binance,BTCUSDT,usdm_futures,1779237839999,1779237839999,history_downloader,{},1m,1779237780000,1779237839999,76635.6,76648.7,76622.8,76648.7,17.635,1351497.7288,1421,True
binance,BTCUSDT,usdm_futures,1779237899999,1779237899999,history_downloader,{},1m,1779237840000,1779237899999,76648.7,76690.0,76644.5,76690.0,23.425,1795890.3271,1061,True
binance,BTCUSDT,usdm_futures,1779237959999,1779237959999,history_downloader,{},1m,1779237900000,1779237959999,76690.0,76703.8,76670.0,76689.9,13.848,1061998.6942,1311,True
binance,BTCUSDT,usdm_futures,1779238019999,1779238019999,history_downloader,{},1m,1779237960000,1779238019999,76689.9,76696.0,76651.6,76668.1,103.412,7927948.2286,2029,True
binance,BTCUSDT,usdm_futures,1779238079999,1779238079999,history_downloader,{},1m,1779238020000,1779238079999,76668.1,76708.0,76668.1,76677.1,35.415,2716223.9542,1766,True
binance,BTCUSDT,usdm_futures,1779238139999,1779238139999,history_downloader,{},1m,1779238080000,1779238139999,76677.0,76717.4,76650.6,76700.5,18.632,1428722.9766,1711,True
binance,BTCUSDT,usdm_futures,1779238199999,1779238199999,history_downloader,{},1m,1779238140000,1779238199999,76700.6,76706.6,76683.3,76706.6,34.698,2661086.0418,1200,True
binance,BTCUSDT,usdm_futures,1779238259999,1779238259999,history_downloader,{},1m,1779238200000,1779238259999,76706.5,76719.7,76695.9,76695.9,12.126,930153.6984,734,True
binance,BTCUSDT,usdm_futures,1779238319999,1779238319999,history_downloader,{},1m,1779238260000,1779238319999,76696.0,76710.6,76689.4,76710.6,10.905,836403.0861,741,True
binance,BTCUSDT,usdm_futures,1779238379999,1779238379999,history_downloader,{},1m,1779238320000,1779238379999,76710.5,76724.3,76661.3,76661.4,18.38,1409871.9513,1356,True
binance,BTCUSDT,usdm_futures,1779238439999,1779238439999,history_downloader,{},1m,1779238380000,1779238439999,76661.4,76693.6,76661.3,76693.5,15.678,1202145.2531,723,True
binance,BTCUSDT,usdm_futures,1779238499999,1779238499999,history_downloader,{},1m,1779238440000,1779238499999,76693.5,76736.9,76684.1,76711.5,23.215,1780929.8782,1861,True
binance,BTCUSDT,usdm_futures,1779238559999,1779238559999,history_downloader,{},1m,1779238500000,1779238559999,76711.5,76736.1,76711.5,76736.1,27.802,2133171.422,1106,True
binance,BTCUSDT,usdm_futures,1779238619999,1779238619999,history_downloader,{},1m,1779238560000,1779238619999,76736.0,76736.1,76713.4,76714.1,14.875,1141245.2622,720,True
binance,BTCUSDT,usdm_futures,1779238679999,1779238679999,history_downloader,{},1m,1779238620000,1779238679999,76714.1,76749.4,76714.1,76739.2,29.217,2242106.5417,1078,True
binance,BTCUSDT,usdm_futures,1779238739999,1779238739999,history_downloader,{},1m,1779238680000,1779238739999,76739.2,76748.4,76737.9,76739.2,443.468,34030838.9674,1128,True
binance,BTCUSDT,usdm_futures,1779238799999,1779238799999,history_downloader,{},1m,1779238740000,1779238799999,76739.1,76760.9,76739.1,76760.9,126.197,9686039.6194,1732,True
binance,BTCUSDT,usdm_futures,1779238859999,1779238859999,history_downloader,{},1m,1779238800000,1779238859999,76761.0,76784.0,76737.9,76746.7,123.218,9456935.5652,2074,True
binance,BTCUSDT,usdm_futures,1779238919999,1779238919999,history_downloader,{},1m,1779238860000,1779238919999,76746.7,76751.6,76737.9,76740.0,63.206,4850564.9694,1243,True
binance,BTCUSDT,usdm_futures,1779238979999,1779238979999,history_downloader,{},1m,1779238920000,1779238979999,76740.0,76740.0,76685.9,76719.0,324.205,24877993.4199,2355,True
binance,BTCUSDT,usdm_futures,1779239039999,1779239039999,history_downloader,{},1m,1779238980000,1779239039999,76719.0,76756.8,76692.9,76756.7,26.181,2008651.4854,1768,True
binance,BTCUSDT,usdm_futures,1779239099999,1779239099999,history_downloader,{},1m,1779239040000,1779239099999,76756.7,76780.2,76737.0,76765.9,29.265,2246474.4754,1886,True
binance,BTCUSDT,usdm_futures,1779239159999,1779239159999,history_downloader,{},1m,1779239100000,1779239159999,76765.9,76766.0,76723.9,76724.0,16.708,1282342.7313,1220,True
binance,BTCUSDT,usdm_futures,1779239219999,1779239219999,history_downloader,{},1m,1779239160000,1779239219999,76724.0,76746.1,76685.1,76688.0,47.988,3680634.4861,2445,True
binance,BTCUSDT,usdm_futures,1779239279999,1779239279999,history_downloader,{},1m,1779239220000,1779239279999,76688.0,76723.9,76683.1,76688.8,29.437,2257741.8883,1887,True
binance,BTCUSDT,usdm_futures,1779239339999,1779239339999,history_downloader,{},1m,1779239280000,1779239339999,76688.8,76788.0,76688.8,76781.9,20.828,1598459.1763,2205,True
binance,BTCUSDT,usdm_futures,1779239399999,1779239399999,history_downloader,{},1m,1779239340000,1779239399999,76781.9,76820.1,76776.9,76813.1,76.292,5859649.1117,3182,True
binance,BTCUSDT,usdm_futures,1779239459999,1779239459999,history_downloader,{},1m,1779239400000,1779239459999,76813.2,76855.0,76801.5,76809.1,80.88,6213582.975,2817,True
binance,BTCUSDT,usdm_futures,1779239519999,1779239519999,history_downloader,{},1m,1779239460000,1779239519999,76809.1,76809.1,76779.0,76806.6,40.431,3104834.0561,1610,True
